expediente,pueblo,scall_col,territorial,fecha_instalacion,alcaldia,instalado,latitud,longitud
1173-DILIJO-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,17/04/2024,IZTACALCO,Programa SCALL,19.402367,-99.059878
1173-HESOMA-TLN-24,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,NO APLICA,26/03/2024,TLALPAN,Programa SCALL,19.28164,-99.2402
1173-SACHMA-TLC-24,JAIME TORRES BODET,JAIME TORRES BODET,NO APLICA,27/03/2024,TLAHUAC,Programa SCALL,19.229298,-99.001075
1174-GAPIAD-TLC-24,SELENE (1A SECCION),SELENE (1A SECCION),NO APLICA,06/04/2024,TLAHUAC,Programa SCALL,19.281859,-99.002703
1174-RAMAMA-TLN-24,PEDREGAL DE SN NICOLAS 1A SECC,PEDREGAL DE SN NICOLAS 1A SECC,NO APLICA,21/03/2024,TLALPAN,Programa SCALL,19.28915,-99.2406
1175-COGOBE-TLN-24,LOMAS DE PADIERNA,LOMAS DE PADIERNA,NO APLICA,13/04/2024,TLALPAN,Programa SCALL,19.29259,-99.2287
1175-LEALGR-IZA-24,SAN ANDRES TETEPILCO (PBLO),SAN ANDRES TETEPILCO (PBLO),NO APLICA,28/05/2024,IZTAPALAPA,Programa SCALL,19.373355,-99.131664
1175-LOAMCA-XOO-24,SAN LUCAS ORIENTE,SAN LUCAS ORIENTE,NO APLICA,24/05/2024,XOCHIMILCO,Programa SCALL,19.24082,-99.1051
1175-PAPUJO-TLC-24,OJO DE AGUA,OJO DE AGUA,NO APLICA,01/06/2024,TLAHUAC,Programa SCALL,19.29053,-99.0116
1175-VABAMA-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,27/06/2024,IZTACALCO,Programa SCALL,19.405491,-99.060327
1176-GUGOLE-VEA-24,FELIPE ANGELES,FELIPE ANGELES,NO APLICA,07/06/2024,VENUSTIANO CARRANZA,Programa SCALL,19.45291,-99.11061
1176-OLPEIV-XOO-24,AMPLIACI?ÙN NATIVITAS,AMPLIACI?ÙN NATIVITAS,NO APLICA,03/06/2024,XOCHIMILCO,Programa SCALL,19.23755,-99.0968
1177-ORLOJU-IZO-24,EL RODEO,EL RODEO,NO APLICA,18/05/2024,IZTACALCO,Programa SCALL,19.391793,-99.084859
1177-PELOVA-VEA-24,MICHOACANA,MICHOACANA,NO APLICA,15/06/2024,VENUSTIANO CARRANZA,Programa SCALL,19.445781,-99.116313
1177-ZAPEAD-TLC-24,SELENE (1A SECCION),SELENE (1A SECCION),NO APLICA,23/04/2024,TLAHUAC,Programa SCALL,19.281947,-99.003534
1178-BARAJA-XOO-24,EL MIRADOR (TULYEHUALCO),EL MIRADOR (TULYEHUALCO),NO APLICA,30/04/2024,XOCHIMILCO,Programa SCALL,19.2526,-99.0225
1178-CHGUJO-TLC-24,GUADALUPE TLALTENCO,GUADALUPE TLALTENCO,NO APLICA,11/06/2024,TLAHUAC,Programa SCALL,19.291143,-99.010684
1179-ASHEAL-TLC-24,SELENE (1A SECCION),SELENE (1A SECCION),NO APLICA,08/05/2024,TLAHUAC,Programa SCALL,19.282439,-99.000588
1179-JUTRRA-IZO-24,CAMPAMENTO 2 DE OCTUBRE II,CAMPAMENTO 2 DE OCTUBRE II,NO APLICA,22/05/2024,IZTACALCO,Programa SCALL,19.385112,-99.117555
117-AGPUJU-IZO-24,AGRICOLA ORIENTAL (SECCIONES 1 A 8),AGRICOLA ORIENTAL (SECCIONES 1 A 8),NO APLICA,29/05/2024,IZTACALCO,Programa SCALL,19.398328,-99.06446
117-CRPEPA-XOO-24,CERRILLOS III,CERRILLOS III,NO APLICA,30/07/2024,XOCHIMILCO,Programa SCALL,19.24501,-99.0308
117-GARIBA-TLC-24,LA NOPALERA,LA NOPALERA,NO APLICA,23/03/2024,TLAHUAC,Programa SCALL,19.296559,-99.052683
117-MANAMI-TLN-24,AMPLIACI?ÙN MIGUEL HIDALGO 3A SECC,MIRADOR II,NO APLICA,08/04/2024,TLALPAN,Programa SCALL,19.27142,-99.2223
117-VIRARU-IZA-24,CULHUACAN (PBLO),CULHUACAN (PBLO),NO APLICA,19/03/2024,IZTAPALAPA,Programa SCALL,19.336013,-99.1096
1180-BLVAAN-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,19/04/2024,IZTACALCO,Programa SCALL,19.405445,-99.060285
1180-NOVAJO-XOO-24,SAN LORENZO ATEMOAYA (PBO),SAN LORENZO ATEMOAYA (PBO),NO APLICA,17/05/2024,XOCHIMILCO,Programa SCALL,19.24247,-99.1027
1180-POCAJO-TLN-24,H?ÎROES DE PADIERNA,H?ÎROES DE PADIERNA,NO APLICA,07/05/2024,TLALPAN,Programa SCALL,19.28266,-99.2222
1180-RICAJA-IZA-24,FUEGO NUEVO,FUEGO NUEVO,NO APLICA,15/06/2024,IZTAPALAPA,Programa SCALL,19.33253,-99.097467
1181-CAMAMA-TLN-24,H?ÎROES DE PADIERNA,H?ÎROES DE PADIERNA,NO APLICA,08/05/2024,TLALPAN,Programa SCALL,19.28107,-99.2223
1181-HEPEMA-IZA-24,PUENTE BLANCO,PUENTE BLANCO,NO APLICA,16/05/2024,IZTAPALAPA,Programa SCALL,19.328903,-99.065323
1182-HEMAPA-TLN-24,H?ÎROES DE PADIERNA,H?ÎROES DE PADIERNA,NO APLICA,13/05/2024,TLALPAN,Programa SCALL,19.28075,-99.2224
1182-TAMOJO-XOO-24,BARRIO SAN MARCOS,BARRIO SAN MARCOS,NO APLICA,15/06/2024,XOCHIMILCO,Programa SCALL,19.2623,-99.1104
1182-VAREJO-IZA-24,SAN ANTONIO (BARRIO),SAN ANTONIO (BARRIO),NO APLICA,09/04/2024,IZTAPALAPA,Programa SCALL,19.300281,-99.07186
1183-LERIPA-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,11/06/2024,IZTACALCO,Programa SCALL,19.40338,-99.060429
1183-POCAMA-IZA-24,CERRO DE LA ESTRELLA,CERRO DE LA ESTRELLA,NO APLICA,04/06/2024,IZTAPALAPA,Programa SCALL,19.325826,-99.076331
1183-RECAAL-TLC-24,SELENE (1A SECCION),SELENE (1A SECCION),NO APLICA,14/05/2024,TLAHUAC,Programa SCALL,19.290198,-99.000581
