fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2022-05-05,1966,170,1758,160,0.08646998982706001,0.09101251422070536
2022-05-06,3052,246,2796,236,0.08060288335517693,0.0844062947067239
2022-05-07,1470,76,1274,76,0.05170068027210884,0.05965463108320251
2022-05-08,711,103,586,97,0.14486638537271448,0.16552901023890784
2022-05-09,3775,384,3406,360,0.10172185430463576,0.10569583088667056
2022-05-10,2575,331,2340,320,0.12854368932038834,0.13675213675213677
2022-05-11,3149,364,2833,334,0.11559225150841536,0.11789622308506884
2022-05-12,3062,387,2731,360,0.1263879817112998,0.13181984621017942
2022-05-13,3339,426,3005,409,0.1275831087151842,0.13610648918469218
2022-05-14,2301,461,2049,447,0.20034767492394612,0.21815519765739383
2022-05-15,1118,390,981,377,0.3488372093023256,0.3843017329255861
2022-05-16,4178,589,3896,567,0.14097654380086166,0.14553388090349076
2022-05-17,3252,440,2901,409,0.1353013530135301,0.14098586694243365
2022-05-18,3773,418,3358,385,0.1107871720116618,0.11465157832042884
2022-05-19,4766,312,4473,304,0.06546370121695343,0.06796333556896937
2022-05-20,4502,600,4158,573,0.1332741003998223,0.1378066378066378
2022-05-21,2393,578,2144,566,0.24153781863769327,0.26399253731343286
2022-05-22,1393,522,1234,517,0.3747307968413496,0.4189627228525122
2022-05-23,4073,710,3760,664,0.1743186840166953,0.17659574468085107
2022-05-24,3581,515,3207,480,0.14381457693381736,0.14967259120673526
2022-05-25,4501,960,4072,906,0.21328593645856475,0.2224950884086444
2022-05-26,3976,792,3720,753,0.19919517102615697,0.20241935483870968
2022-05-27,3959,882,3558,817,0.22278353119474617,0.22962338392355255
2022-05-28,2029,325,1767,313,0.16017742730409068,0.17713638936049805
2022-05-29,840,96,685,92,0.11428571428571428,0.1343065693430657
2022-05-30,5079,1129,4635,1055,0.22228785193935813,0.22761596548004315
