,cycleId,latitude_decimal,longitude_decimal,CO
362122,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.63
362124,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.47
362125,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.12
362126,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,3.05
362128,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.48
362222,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,-0.03
362223,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.41
362224,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.07
362225,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.7
362226,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.5
362227,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.43
362228,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.33
362229,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.44
362230,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.08
362231,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.56
362232,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.68
362233,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.49
362235,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.64
362236,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.14
362238,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.62
362239,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.73
362241,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.45
362242,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.17
362246,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.57
362247,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.37
362248,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.34
362249,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,1.61
362250,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.55
362251,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.4
362252,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.46
362253,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.65
362255,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.22
362256,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.58
362257,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.66
362260,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.67
362261,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.71
362267,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.55
362268,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.53
362271,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.52
362273,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,1.87
362276,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.6
362279,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,3.3
362281,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,1.41
362285,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.75
362286,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.51
362288,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,1.34
362290,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.61
362291,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.1
362294,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.69
362296,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.54
362297,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,2.94
362303,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.23
362306,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.63
362308,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.47
362309,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,0.12
362310,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,3.05
362312,fff34e0f186eb3d2,19.398899516666667,-99.02463716388888,4.48
362406,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,-0.03
362407,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.41
362408,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.07
362409,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.7
362410,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.5
362411,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.43
362412,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.33
362413,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.44
362414,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.08
362415,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.56
362416,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.68
362417,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.49
362419,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.64
362420,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.14
362422,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.62
362423,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.73
362425,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.45
362426,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.17
362430,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.57
362431,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.37
362432,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.34
362433,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,1.61
362434,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.55
362435,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.4
362436,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.46
362437,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.65
362439,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.22
362440,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.58
362441,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.66
362444,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.67
362445,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.71
362451,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.55
362452,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.53
362455,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.52
362457,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,1.87
362460,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.6
362463,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,3.3
362465,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,1.41
362469,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.75
362470,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.51
