attribute,average
pm_1,29.75
alto_pm_1,32.333333333333336
pm_25,44.0
alto_pm_25,48.66666666666666
pm_10,54.333333333333336
alto_pm_10,62.16666666666666
temp,23.75
temp_alta,24.166666666666668
temp_baja,23.33333333333333
hum,37.5
alta_hum,39.25
hum_baja,37.083333333333336
punto_de_roco,8.416666666666666
mxima_del_punto_de_roco,8.833333333333334
mnima_del_punto_de_roco,8.0
bulbo_hmedo,12.583333333333334
mxima_temperatura_de_bulbo_hmedo,12.75
mnima_de_la_temperatura_de_bulbo_hmedo,11.916666666666666
ndice_de_calor,23.25
mxima_del_indice_de_calor,23.25
time,
aqi,125.5
aqi_alto,140.41666666666666
pm_1,31.25
alto_pm_1,36.333333333333336
pm_25,45.5
alto_pm_25,52.333333333333336
pm_10,56.41666666666666
alto_pm_10,65.66666666666667
temp,29.416666666666668
temp_alta,29.666666666666668
temp_baja,29.25
hum,26.33333333333333
alta_hum,27.416666666666668
hum_baja,25.416666666666668
punto_de_roco,8.166666666666666
mxima_del_punto_de_roco,8.666666666666666
mnima_del_punto_de_roco,7.75
bulbo_hmedo,12.75
mxima_temperatura_de_bulbo_hmedo,12.916666666666666
mnima_de_la_temperatura_de_bulbo_hmedo,12.25
ndice_de_calor,28.166666666666668
mxima_del_indice_de_calor,28.25
time,
aqi,118.75
aqi_alto,135.25
pm_1,29.0
alto_pm_1,33.583333333333336
pm_25,42.91666666666666
alto_pm_25,49.5
pm_10,52.833333333333336
alto_pm_10,62.083333333333336
temp,31.83333333333333
temp_alta,32.166666666666664
temp_baja,31.416666666666668
hum,20.83333333333333
alta_hum,22.08333333333333
hum_baja,20.33333333333333
punto_de_roco,6.666666666666667
mxima_del_punto_de_roco,7.5
mnima_del_punto_de_roco,6.25
bulbo_hmedo,11.666666666666666
mxima_temperatura_de_bulbo_hmedo,12.166666666666666
mnima_de_la_temperatura_de_bulbo_hmedo,11.166666666666666
ndice_de_calor,30.25
mxima_del_indice_de_calor,30.33333333333333
time,
aqi,104.0
aqi_alto,118.41666666666669
pm_1,25.166666666666668
alto_pm_1,28.5
pm_25,36.66666666666666
alto_pm_25,42.583333333333336
pm_10,44.16666666666666
alto_pm_10,53.5
temp,34.333333333333336
temp_alta,34.416666666666664
temp_baja,33.916666666666664
hum,16.166666666666668
alta_hum,17.25
hum_baja,15.166666666666666
punto_de_roco,4.75
mxima_del_punto_de_roco,5.916666666666667
mnima_del_punto_de_roco,4.083333333333333
bulbo_hmedo,10.0
mxima_temperatura_de_bulbo_hmedo,11.083333333333334
mnima_de_la_temperatura_de_bulbo_hmedo,9.5
ndice_de_calor,32.083333333333336
mxima_del_indice_de_calor,32.416666666666664
time,
aqi,95.16666666666669
aqi_alto,110.08333333333331
pm_1,22.916666666666668
alto_pm_1,26.5
pm_25,32.833333333333336
alto_pm_25,39.083333333333336
pm_10,38.583333333333336
alto_pm_10,48.16666666666666
temp,35.0
temp_alta,35.166666666666664
temp_baja,34.833333333333336
hum,13.416666666666666
alta_hum,14.666666666666666
hum_baja,12.5
punto_de_roco,2.9166666666666665
mxima_del_punto_de_roco,4.333333333333333
mnima_del_punto_de_roco,2.1666666666666665
bulbo_hmedo,8.416666666666666
mxima_temperatura_de_bulbo_hmedo,9.416666666666666
mnima_de_la_temperatura_de_bulbo_hmedo,7.75
ndice_de_calor,32.833333333333336
mxima_del_indice_de_calor,33.0
time,
aqi,52.083333333333336
aqi_alto,65.75
pm_1,11.166666666666666
alto_pm_1,14.333333333333334
pm_25,13.583333333333334
alto_pm_25,19.166666666666668
pm_10,14.5
alto_pm_10,21.83333333333333
temp,34.833333333333336
temp_alta,35.25
temp_baja,34.75
hum,10.166666666666666
alta_hum,11.25
hum_baja,9.666666666666666
punto_de_roco,-0.9166666666666666
mxima_del_punto_de_roco,0.5
mnima_del_punto_de_roco,-1.6666666666666667
bulbo_hmedo,5.333333333333333
mxima_temperatura_de_bulbo_hmedo,6.5
mnima_de_la_temperatura_de_bulbo_hmedo,4.833333333333333
ndice_de_calor,32.333333333333336
mxima_del_indice_de_calor,32.75
time,
aqi,55.083333333333336
aqi_alto,76.0
pm_1,11.833333333333334
alto_pm_1,18.25
pm_25,14.25
alto_pm_25,23.83333333333333
